Date,Index,Current,Point Change,% Change,Turnover
2023-07-30,Sensitive Float Index,131.8,-1.45,-1.25,924958624.9
2023-07-29,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-07-28,NEPSE Index,2126.48,-29.71,-1.37,2425780564.09
2023-07-28,Sensitive Index,403.84,-5.26,-1.28,827188499.8
2023-07-28,Float Index,147.32,-1.95,-1.31,2369177699.9
2023-07-28,Sensitive Float Index,133.26,-1.66,-1.23,826260565.7
2023-07-27,NEPSE Index,2126.48,-29.71,-1.37,2425780564.09
2023-07-27,Sensitive Index,403.84,-5.26,-1.28,827188499.8
2023-07-27,Float Index,147.32,-1.95,-1.31,2369177699.9
2023-07-27,Sensitive Float Index,133.26,-1.66,-1.23,826260565.7
2023-07-26,NEPSE Index,2156.2,-8.11,-0.37,2432508769.56
2023-07-26,Sensitive Index,409.11,-2.05,-0.5,841867469.8
2023-07-26,Float Index,149.28,-0.47,-0.31,2233631998.1
2023-07-26,Sensitive Float Index,134.93,-0.43,-0.32,839761700.5
2023-07-25,NEPSE Index,2164.31,-36.19,-1.64,2910732418.7
2023-07-25,Sensitive Index,410.94,-7.84,-1.87,1183511761.3
2023-07-25,Float Index,149.64,-2.93,-1.92,2851344938.33
2023-07-25,Sensitive Float Index,135.24,-3.07,-2.22,1182075816.4
2023-07-24,NEPSE Index,2200.5,-26.66,-1.19,4737608810.43
2023-07-24,Sensitive Index,418.79,-6.14,-1.44,0.0
2023-07-24,Float Index,152.58,-2.24,-1.45,0.0
2023-07-24,Sensitive Float Index,138.32,-2.31,-1.64,0.0
2023-07-23,NEPSE Index,2227.16,63.24,2.92,4375196232.8
2023-07-23,Sensitive Index,424.93,14.41,3.51,1725383247.5
2023-07-23,Float Index,154.82,4.77,3.18,4300148747.6
2023-07-23,Sensitive Float Index,140.63,5.51,4.08,1723368994.6
2023-07-22,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-07-21,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-07-20,NEPSE Index,2163.92,-1.31,-0.06,3052410659.63
2023-07-20,Sensitive Index,410.52,0.05,0.01,1092096997.9
2023-07-20,Float Index,150.04,-0.2,-0.13,2985809640.7
2023-07-20,Sensitive Float Index,135.12,0.04,0.02,1090282620.9
2023-07-19,NEPSE Index,2165.24,11.17,0.52,3348679900.45
2023-07-19,Sensitive Index,410.46,3.33,0.82,1212794819.7
2023-07-19,Float Index,150.25,1.06,0.71,3287439137.9
2023-07-19,Sensitive Float Index,135.08,1.39,1.04,1210402688.9
2023-07-18,NEPSE Index,2154.07,9.91,0.46,3548829029.13
2023-07-18,Sensitive Index,407.13,3.04,0.75,1378891701.0
2023-07-18,Float Index,149.19,0.7,0.47,3519766554.2
2023-07-18,Sensitive Float Index,133.69,0.82,0.62,1376369208.0
2023-07-17,NEPSE Index,2144.16,47.07,2.24,2560191288.71
